Covered_Recipient_Specialty_1,total_payment,median_payment,number_of_payments
Allopathic & Osteopathic Physicians|Ophthalmology|Ophthalmic Plastic and Reconstructive Surgery,2365.91,177.515,4
Allopathic & Osteopathic Physicians|Preventive Medicine|Occupational Medicine,2269.23,53.425,6
Allopathic & Osteopathic Physicians|Family Medicine|Adult Medicine,2105.68,13.26,103
Allopathic & Osteopathic Physicians|Ophthalmology|Uveitis and Ocular Inflammatory Disease,2000.0,2000.0,1
Allopathic & Osteopathic Physicians|Medical Genetics|Clinical Genetics (M.D.),1892.75,21.814999999999998,8
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Child & Adolescent Psychiatry,1868.13,22.06,7
Allopathic & Osteopathic Physicians|Otolaryngology|Pediatric Otolaryngology,1729.51,23.715,6
Allopathic & Osteopathic Physicians|Internal Medicine|Adolescent Medicine,1700.6299999999999,14.31,47
Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Maternal & Fetal Medicine,1592.94,17.03,31
Allopathic & Osteopathic Physicians|Pediatrics|Sports Medicine,1587.29,35.620000000000005,14
"Allopathic & Osteopathic Physicians|Neuromusculoskeletal Medicine, Sports Medicine",1582.45,19.345,24
Allopathic & Osteopathic Physicians|Emergency Medicine|Emergency Medical Services,1542.3700000000001,17.105,16
Dental Providers|Dentist|Oral and Maxillofacial Pathology,1440.07,25.21,38
Allopathic & Osteopathic Physicians|Emergency Medicine|Undersea and Hyperbaric Medicine,1406.99,17.265,12
Allopathic & Osteopathic Physicians|Dermatology|Dermatopathology,1318.8799999999999,15.44,15
Allopathic & Osteopathic Physicians|Internal Medicine|Transplant Hepatology,1133.58,41.79,3
Allopathic & Osteopathic Physicians|Preventive Medicine|Public Health & General Preventive Medicine,1062.85,122.465,6
Allopathic & Osteopathic Physicians|Internal Medicine|Allergy & Immunology,1046.82,19.65,12
Allopathic & Osteopathic Physicians|Preventive Medicine|Aerospace Medicine,899.86,18.63,4
Podiatric Medicine & Surgery Service Providers|Podiatrist|Sports Medicine,893.41,19.7,6
Allopathic & Osteopathic Physicians|Anesthesiology|Pediatric Anesthesiology,820.61,61.78,5
Allopathic & Osteopathic Physicians|Nuclear Medicine|Nuclear Cardiology,749.55,16.165,22
Allopathic & Osteopathic Physicians|Family Medicine|Geriatric Medicine,644.65,14.97,41
Allopathic & Osteopathic Physicians|Otolaryngology|Otology & Neurotology,613.08,168.07,4
Allopathic & Osteopathic Physicians|Internal Medicine|Sleep Medicine,582.83,16.54,27
Dental Providers|Dentist|Dental Public Health,517.79,22.71,11
Allopathic & Osteopathic Physicians|Ophthalmology|Glaucoma Specialist,481.61,481.61,1
Allopathic & Osteopathic Physicians|Internal Medicine|Hepatology,441.44,28.91,5
Allopathic & Osteopathic Physicians|Urology|Pediatric Urology,396.88,20.32,15
Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Gastroenterology,300.06,6.15,20
